COMPANY_CD_FSK,CUSTOMER_CD_FSK,PRODUCT_CD_FSK,INVOICE_YEAR_MONTH,QUANTITY_PIECES,GROSS_SALES
127,20751556,77269453,2021-10-01 00:00:00,24,14963.52
127,4462,510666,2021-03-01 00:00:00,48,14942.66
127,3584,512136,2021-01-01 00:00:00,1344,14932.92
127,4462,508388,2021-10-01 00:00:00,96,14880.94
127,4176,508388,2021-03-01 00:00:00,96,14852.64
127,4462,505145,2021-04-01 00:00:00,40,14676.84
213,32351569,154554070,2021-06-01 00:00:00,16200,14580
127,4216,503964,2021-04-01 00:00:00,74,14454.24
127,1872,508221,2021-11-01 00:00:00,4920,14169.6
72,19394766,90957421,2021-09-01 00:00:00,4,14032.8
127,3273,504164,2021-11-01 00:00:00,216,14003.28
213,32351569,154570656,2021-09-01 00:00:00,6500,13994
213,32351569,154556497,2021-06-01 00:00:00,19800,13860
213,32348670,154551095,2021-01-01 00:00:00,240,13788
72,19392432,90950906,2021-03-01 00:00:00,240,13350.08
127,1872,499087,2021-11-01 00:00:00,7760,13260.28
127,871,493395,2021-05-01 00:00:00,28800,13248
72,19392432,90939719,2021-08-01 00:00:00,200,13240.529999999999
127,4462,502287,2021-04-01 00:00:00,140,13206.2
127,2433,511432,2021-12-01 00:00:00,160,12956.8
127,2484,497832,2021-07-01 00:00:00,304,12857.44
127,4462,508388,2021-01-01 00:00:00,96,12751.68
213,32351569,154551660,2021-04-01 00:00:00,7000,12740
72,19392432,90980352,2021-07-01 00:00:00,48,12586.16
127,3273,504164,2021-09-01 00:00:00,194,12577.02
213,32351569,154554070,2021-03-01 00:00:00,14400,12384
127,14425627,491514,2021-07-01 00:00:00,20,12343.2
127,2433,511432,2021-03-01 00:00:00,160,12305.6
127,2433,511432,2021-06-01 00:00:00,160,12305.6
127,2433,511432,2021-11-01 00:00:00,160,12305.6
211,3483291,12975402,2021-09-01 00:00:00,15840,12291.84
127,4462,503967,2021-07-01 00:00:00,96,12275.24
213,32351569,154556497,2021-04-01 00:00:00,18000,12240
241,5664978,22602021,2021-07-01 00:00:00,134,12200.96
127,3584,501361,2021-04-01 00:00:00,384,12134.4
127,3584,509436,2021-11-01 00:00:00,4,12128.6
72,19392432,90942059,2021-10-01 00:00:00,220,12058.54
72,19392432,90960334,2021-01-01 00:00:00,500,12029.849999999999
213,32351569,154570656,2021-07-01 00:00:00,5600,11984
213,32348670,154551095,2021-07-01 00:00:00,192,11928.96
213,32348670,154551095,2021-12-01 00:00:00,192,11928.96
127,3273,493395,2021-10-01 00:00:00,19200,11904
127,3584,508124,2021-03-01 00:00:00,6,11880
72,19392432,90965363,2021-07-01 00:00:00,200,11804.55
72,19392432,90965363,2021-10-01 00:00:00,200,11803.65
72,19392432,90965363,2021-03-01 00:00:00,200,11785.029999999999
213,32353079,154568646,2021-02-01 00:00:00,1920,11654.4
127,3584,507386,2021-01-01 00:00:00,576,11551.44
127,1872,508221,2021-05-01 00:00:00,4920,11404.56
127,3273,496035,2021-09-01 00:00:00,30000,11400
127,4216,507386,2021-03-01 00:00:00,400,11384.64
127,4216,512136,2021-02-01 00:00:00,768,11285.78
127,3584,496584,2021-03-01 00:00:00,56,11241.2
241,5664978,22638605,2021-03-01 00:00:00,0,11168.3
127,3749,507861,2021-03-01 00:00:00,2,11047.58
127,4462,507386,2021-01-01 00:00:00,608,10998.46
213,32351569,154554070,2021-04-01 00:00:00,12600,10962
127,3584,503964,2021-06-01 00:00:00,70,10958.96
72,19392432,90980888,2021-09-01 00:00:00,124,10868.54
213,32351569,154551660,2021-01-01 00:00:00,6000,10800
127,871,490074,2021-01-01 00:00:00,342,10745.64
127,4462,496822,2021-01-01 00:00:00,1320,10741.14
213,32351569,154563705,2021-07-01 00:00:00,10000,10700
127,1872,499087,2021-05-01 00:00:00,7760,10689.4
127,3584,505145,2021-01-01 00:00:00,28,10652.28
127,871,493395,2021-01-01 00:00:00,24000,10560
127,871,493395,2021-02-01 00:00:00,24000,10560
127,4993,504333,2021-12-01 00:00:00,16,10548
127,871,509352,2021-11-01 00:00:00,17280,10540.8
127,20751556,490811,2021-11-01 00:00:00,14,10520.44
211,3469616,12955291,2021-04-01 00:00:00,1620,10465.2
127,1872,508221,2021-02-01 00:00:00,4500,10431
127,4462,512136,2021-04-01 00:00:00,1008,10416.8
127,4176,493025,2021-11-01 00:00:00,96,10411
127,1530,493634,2021-06-01 00:00:00,12,10308.48
127,1872,491192,2021-11-01 00:00:00,3840,10211.34
72,19392432,90938897,2021-01-01 00:00:00,300,10196.72
127,4462,512136,2021-07-01 00:00:00,960,10158.62
127,3584,512136,2021-09-01 00:00:00,824,10149.18
127,1872,491192,2021-02-01 00:00:00,4000,10032
127,4216,511289,2021-02-01 00:00:00,512,10031.8
127,4216,500355,2021-09-01 00:00:00,460,10028
127,871,504341,2021-12-01 00:00:00,19200,9984
72,19392432,90965329,2021-01-01 00:00:00,64,9968.349999999999
127,4462,495221,2021-07-01 00:00:00,60,9900
213,32351569,154554070,2021-11-01 00:00:00,0,9900
127,4216,503481,2021-02-01 00:00:00,20,9806.64
72,19394766,90952458,2021-04-01 00:00:00,8,9772.8
127,871,490074,2021-07-01 00:00:00,310,9740.2
72,19392432,90965637,2021-10-01 00:00:00,200,9631.779999999999
127,1872,491192,2021-05-01 00:00:00,3840,9630.72
72,19392432,90965637,2021-06-01 00:00:00,200,9627.869999999999
127,871,490074,2021-09-01 00:00:00,306,9614.52
72,19392432,90965637,2021-04-01 00:00:00,200,9572.32
127,871,503531,2021-07-01 00:00:00,12000,9480
127,4216,509985,2021-08-01 00:00:00,84,9475.46
211,3459454,12997779,2021-07-01 00:00:00,800,9448
127,4462,503677,2021-03-01 00:00:00,228,9444.1
127,871,490074,2021-03-01 00:00:00,300,9426
127,4237,489326,2021-03-01 00:00:00,96,9356.06
213,32351569,154551660,2021-09-01 00:00:00,5000,9350
127,4176,489326,2021-03-01 00:00:00,76,9298.66
