"CUSTOMER_FSK","PRODUCT_FSK","INVOICE_YEARMONTH","GROSS_SALES","UNITS"
8037821776,166250726,"2021/12/01 00:00:00",-33001.48,2
5233413113,133903180,"2021/12/01 00:00:00",-26470.4,80
8216187218,133903220,"2021/12/01 00:00:00",-9600,96
8144841364,80720947,"2021/11/01 00:00:00",-8098,12
4859601505,80720994,"2021/06/01 00:00:00",-6375,500
8065442344,57953102,"2021/09/01 00:00:00",-5821.28,16
8204249423,103734201,"2021/09/01 00:00:00",-5801.52,20
6684413930,57961521,"2021/06/01 00:00:00",-3940.02,4
8067117120,80721136,"2021/06/01 00:00:00",-3872,550
8217328406,80721213,"2021/06/01 00:00:00",-3154,200
7945331234,149123347,"2021/12/01 00:00:00",-2898.48,32
8035128803,57950654,"2021/10/01 00:00:00",-2840.28,10
6650412539,80721233,"2021/06/01 00:00:00",-2672,200
7948768595,80721014,"2021/06/01 00:00:00",-2595,300
7771452023,57940184,"2021/09/01 00:00:00",-2400,2
7483838230,57942168,"2021/11/01 00:00:00",-2326.4,8
7930760242,80720858,"2021/06/01 00:00:00",-2160,1200
8205814733,57952022,"2021/07/01 00:00:00",-2103.1,20
7929374190,80720814,"2021/06/01 00:00:00",-1998.9,90
7460682557,57939480,"2021/05/01 00:00:00",-1938.08,4
7727530131,57959458,"2021/06/01 00:00:00",-1936.34,12
8226164116,57937960,"2021/04/01 00:00:00",-1904.4,36
5463960371,80721013,"2021/06/01 00:00:00",-1883,100
8236629744,80721084,"2021/06/01 00:00:00",-1824,3200
8134097797,80721250,"2021/06/01 00:00:00",-1814,200
7985781074,57937283,"2021/06/01 00:00:00",-1800,2400
7072201101,57946763,"2021/11/01 00:00:00",-1758.72,6
6231171333,57938312,"2021/10/01 00:00:00",-1699.2,40
7464882652,57950731,"2021/06/01 00:00:00",-1687.2,2960
8227344426,80720958,"2021/06/01 00:00:00",-1684,80
7154703529,57938887,"2021/06/01 00:00:00",-1610,1400
7861288139,57952816,"2021/06/01 00:00:00",-1608,96
8174795526,80720807,"2021/06/01 00:00:00",-1591,100
7996626739,57938990,"2021/06/01 00:00:00",-1564,2300
7886393054,57939364,"2021/06/01 00:00:00",-1482,1900
7983221983,80720799,"2021/06/01 00:00:00",-1480,800
8144410256,80721074,"2021/06/01 00:00:00",-1458,200
8198320731,133903213,"2021/12/01 00:00:00",-1411.04,16
8086647118,57956226,"2021/02/01 00:00:00",-1403.92,2
8268625938,57940007,"2021/08/01 00:00:00",-1366.84,48
7895847246,57940606,"2021/03/01 00:00:00",-1353.72,6
8236540360,57955194,"2021/09/01 00:00:00",-1320.46,430
8160360459,80720836,"2021/06/01 00:00:00",-1304.4,180
6544977314,57948157,"2021/06/01 00:00:00",-1280,6
8056631784,80720700,"2021/06/01 00:00:00",-1260,560
7723905132,57949897,"2021/03/01 00:00:00",-1246.58,34
8204755245,80720917,"2021/06/01 00:00:00",-1215.76,52
7779503824,80721024,"2021/06/01 00:00:00",-1101,100
8147227070,80720801,"2021/06/01 00:00:00",-1092,2600
